Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1275,17,328,216,5843,30060,268764
BOS,"Boston, MA: Logan International",495,3,66,138,1623,9639,77167
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",477,8,78,29,1245,8287,64480
CLT,"Charlotte, NC: Charlotte Douglas International",472,2,54,73,1562,8670,65865
DCA,"Washington, DC: Ronald Reagan Washington National",268,4,58,74,1100,6513,52747
DEN,"Denver, CO: Denver International",323,11,98,34,1611,11691,75428
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1390,19,258,394,4798,27628,263521
DTW,"Detroit, MI: Detroit Metro Wayne County",371,6,71,123,1395,11754,60667
EWR,"Newark, NJ: Newark Liberty International",519,10,121,102,2921,12506,150513
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",256,5,34,13,967,4662,44303
IAD,"Washington, DC: Washington Dulles International",295,3,66,101,1256,8419,65529
IAH,"Houston, TX: George Bush Intercontinental/Houston",730,15,123,91,2601,15551,134182
JFK,"New York, NY: John F. Kennedy International",226,21,28,24,1046,5778,50335
LAS,"Las Vegas, NV: McCarran International",678,17,64,39,1893,11759,79533
LAX,"Los Angeles, CA: Los Angeles International",765,37,97,101,2571,18462,114434
LGA,"New York, NY: LaGuardia",338,4,94,121,1604,8908,82859
MCO,"Orlando, FL: Orlando International",434,3,48,9,1388,7617,65140
MDW,"Chicago, IL: Chicago Midway International",411,12,39,47,951,7061,42962
MIA,"Miami, FL: Miami International",210,2,66,28,1105,4900,52191
MSP,"Minneapolis, MN: Minneapolis-St Paul International",376,9,106,101,1678,12194,78259
ORD,"Chicago, IL: Chicago O'Hare International",982,11,157,261,4899,30195,257007
PDX,"Portland, OR: Portland International",248,11,22,17,684,4746,27645
PHL,"Philadelphia, PA: Philadelphia International",565,1,64,83,2049,9069,97173
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",569,19,41,57,1783,14008,76031
SAN,"San Diego, CA: San Diego International",349,8,30,20,1052,6851,43215
SEA,"Seattle, WA: Seattle/Tacoma International",552,28,36,63,1516,9246,68673
SFO,"San Francisco, CA: San Francisco International",312,14,59,83,1880,10183,90487
SLC,"Salt Lake City, UT: Salt Lake City International",290,15,36,34,1057,10582,42863
TPA,"Tampa, FL: Tampa International",327,3,42,12,1122,5401,51364
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1791,13,367,484,7452,30875,418274
BOS,"Boston, MA: Logan International",587,0,61,226,1710,9972,97186
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646,4,102,57,1679,8611,100157
CLT,"Charlotte, NC: Charlotte Douglas International",542,0,74,163,1895,8965,94531
DCA,"Washington, DC: Ronald Reagan Washington National",270,3,74,181,1260,6695,67839
DEN,"Denver, CO: Denver International",434,2,111,71,1753,12702,91893
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1443,18,244,274,5003,28323,258631
DTW,"Detroit, MI: Detroit Metro Wayne County",448,4,145,175,1891,12192,103913
